S no,City,State,Population,Metropolitan,Sexratio,Literacy
10,"Jaipur","Rajasthan",3046163,3046163,900,0.8333
13,"Nagpur","Maharashtra",2405665,2497777,963,0.9192
14,"Indore","Madhya Pradesh",1964086,2167447,925,0.8587
15,"Thane","Maharashtra",1841488,1841488,888,0.8941
16,"Bhopal","Madhya Pradesh",1798218,1883381,921,0.8347
17,"Visakhapatnam","Andhra Pradesh",1728128,1728128,978,0.8179
18,"Pimpri and Chinchwad","Maharashtra",1727692,1727692,833,0.8922
19,"Patna","Bihar",1684222,2046652,885,0.8337
20,"Vadodara","Gujarat",1670806,1817191,921,0.9063
22,"Ludhiana","Punjab",1618879,1618879,850,0.8577
24,"Nashik","Maharashtra",1486053,1562769,899,0.8985
25,"Faridabad","Haryana",1414050,1414050,874,0.8383
27,"Rajkot","Gujarat",1286678,1390933,908,0.878
28,"Kalyan and Dombivali","Maharashtra",1247327,1247327,920,0.9137
29,"Vasai Virar","Maharashtra",1222390,1222390,886,0.8857
31,"Srinagar","Jammu and Kashmir",1180570,1273312,908,0.6915
32,"Aurangabad","Maharashtra",1175116,1189376,929,0.8749
33,"Dhanbad","Jharkhand",1162472,1195298,891,0.7947
34,"Amritsar","Punjab",1132383,1183705,884,0.8419
35,"Navi Mumbai","Maharashtra",1120547,1120547,837,0.8962
37,"Haora","West Bengal",1077075,1077075,919,0.8871
38,"Ranchi","Jharkhand",1073427,1126741,921,0.8737
39,"Gwalior","Madhya Pradesh",1069276,1101981,879,0.8414
40,"Jabalpur","Madhya Pradesh",1055525,1267564,935,0.8739
41,"Coimbatore","Tamil Nadu",1050721,2151466,997,0.913
42,"Vijayawada","Andhra Pradesh",1034358,1491202,995,0.8124
43,"Jodhpur","Rajasthan",1033756,1137815,903,0.8081
44,"Madurai","Tamil Nadu",1017865,1462420,999,0.9091
45,"Raipur","Chhattisgarh",1010433,1122555,948,0.8595
46,"Kota","Rajasthan",1001694,1001694,895,0.828
47,"Chandigarh","Chandigarh",961587,1025682,829,0.8642
48,"Guwahati","Assam",957352,968549,933,0.9147
49,"Solapur","Maharashtra",951558,951558,978,0.828
50,"Hubli and Dharwad","Karnataka",943788,943788,989,0.8679
52,"Mysore","Karnataka",893062,983893,999,0.8767
54,"Gurgaon","Haryana",876969,901968,846,0.8752
56,"Jalandhar","Punjab",862886,873725,886,0.8622
57,"Tiruchirappalli","Tamil Nadu",847387,1021717,1025,0.9138
58,"Bhubaneswar","Orissa",843402,881988,890,0.9187
59,"Salem","Tamil Nadu",829267,919150,987,0.8442
60,"Mira and Bhayander","Maharashtra",809378,809378,886,0.9098
61,"Thiruvananthapuram","Kerala",743691,1687406,1054,0.951
62,"Bhiwandi","Maharashtra",709665,737411,709,0.7948
65,"Guntur","Andhra Pradesh",647508,673952,1019,0.804
66,"Amravati","Maharashtra",647057,647057,961,0.9207
67,"Bikaner","Rajasthan",644406,644406,904,0.7929
69,"Jamshedpur","Jharkhand",631364,1337131,920,0.8691
70,"Bhilai Nagar","Chhattisgarh",625700,625700,941,0.8663
71,"Warangal","Andhra Pradesh",615998,759594,997,0.833
72,"Cuttack","Orissa",610189,658986,930,0.91
74,"Kochi","Kerala",602046,2117990,1027,0.9736
75,"Bhavnagar","Gujarat",593368,606282,921,0.847
76,"Dehradun","Uttarakhand",569578,714223,907,0.8836
77,"Durgapur","West Bengal",566517,581409,925,0.8602
78,"Asansol","West Bengal",563917,1243008,929,0.833
79,"Nanded Waghala","Maharashtra",550439,550439,928,0.8593
80,"Kolapur","Maharashtra",549236,549236,959,0.9061
81,"Ajmer","Rajasthan",542321,551360,947,0.8652
82,"Gulbarga","Karnataka",533587,541617,964,0.823
84,"Ujjain","Madhya Pradesh",515215,515215,945,0.8443
85,"Siliguri","West Bengal",513264,701489,946,0.8591
86,"Ulhasnagar","Maharashtra",506098,506098,881,0.8749
88,"Sangli Miraj Kupwad","Maharashtra",502793,502793,982,0.8591
89,"Jammu","Jammu and Kashmir",502197,651826,908,0.9014
90,"Nellore","Andhra Pradesh",499575,564148,958,0.841
91,"Mangalore","Karnataka",488968,619664,1016,0.9372
92,"Belgaum","Karnataka",488157,610189,988,0.8982
93,"Jamnagar","Gujarat",479920,600411,928,0.8214
94,"Tirunelveli","Tamil Nadu",473637,498984,1027,0.9039
95,"Malegaon","Maharashtra",471312,471312,973,0.8761
96,"Gaya","Bihar",468614,470839,896,0.8163
97,"Ambattur","Tamil Nadu",466205,466205,985,0.9219
98,"Jalgaon","Maharashtra",460228,460228,913,0.8728
99,"Udaipur","Rajasthan",451100,475150,928,0.8966
100,"Maheshtala","West Bengal",448317,448317,952,0.8203
101,"Tiruppur","Tamil Nadu",444352,962982,955,0.8781
102,"Davanagere","Karnataka",434971,434971,979,0.849
103,"Kozhikode","Kerala",431560,2030519,1093,0.9653
104,"Kurnool","Andhra Pradesh",430214,478124,1013,0.7706
105,"Akola","Maharashtra",425817,425817,959,0.9191
106,"Rajpur Sonarpur","West Bengal",424368,424368,970,0.9014
107,"Bokaro Steel","Jharkhand",414820,563417,889,0.8347
108,"Bellary","Karnataka",410445,410445,991,0.7838
109,"Patiala","Punjab",406192,445196,884,0.8578
110,"South Dum Dum","West Bengal",403316,403316,995,0.9209
111,"Rajarhat Gopalpur","West Bengal",402844,402844,976,0.8969
112,"Bhagalpur","Bihar",400146,410210,880,0.7926
113,"Agartala","Tripura",400004,400004,999,0.9445
115,"Bhatpara","West Bengal",383762,383762,887,0.8474
116,"Latur","Maharashtra",382940,382940,937,0.8422
117,"Panihati","West Bengal",377347,377347,992,0.9192
118,"Dhule","Maharashtra",375559,375559,941,0.8786
119,"Rohtak","Haryana",374292,374292,888,0.857
120,"Korba","Chhattisgarh",363390,365073,925,0.8338
121,"Bhilwara","Rajasthan",359483,359483,922,0.822
122,"Brahmapur Town","Orissa",356598,356598,920,0.8926
123,"Muzaffarpur","Bihar",354462,393724,890,0.8307
124,"Ahmadnagar","Maharashtra",350859,379867,961,0.8979
126,"Kollam","Kerala",348657,1110005,1075,0.9412
127,"Avadi","Tamil Nadu",345996,345996,970,0.9128
128,"Kadapa","Andhra Pradesh",343054,344078,990,0.7866
129,"Rajahmundry","Andhra Pradesh",341831,478199,1026,0.8412
130,"Bilaspur","Chhattisgarh",331030,452851,943,0.8813
131,"Kamarhati","West Bengal",330211,330211,939,0.8767
133,"Bijapur","Karnataka",327427,327427,982,0.8321
135,"Shimoga","Karnataka",322650,322650,991,0.8778
136,"Chandrapur","Maharashtra",320379,320379,953,0.8942
137,"Junagadh","Gujarat",319462,319462,955,0.88
138,"Thrissur","Kerala",315957,1854783,1075,0.9706
139,"Alwar","Rajasthan",315379,341383,891,0.8595
140,"Barddhaman","West Bengal",314265,347016,965,0.8831
141,"Kulti","West Bengal",313809,313809,923,0.7541
142,"Kakinada","Andhra Pradesh",312538,442936,1048,0.8062
143,"Nizamabad","Andhra Pradesh",311152,311152,1008,0.7852
144,"Parbhani","Maharashtra",307170,307170,962,0.8162
145,"Tumkur","Karnataka",302143,302143,976,0.8891
146,"Hisar","Haryana",301383,306893,846,0.8465
147,"Ozhukarai","Puducherry",300104,300104,1021,0.8935
148,"Biharsharif","Bihar",297268,297268,915,0.753
149,"Darbhanga","Bihar",296039,306089,902,0.794
150,"Panipat","Haryana",294292,442277,873,0.8284
151,"Aizawl","Mizoram",293416,293416,1025,0.9836
152,"Bally","West Bengal",293373,293373,870,0.889
153,"Dewas","Madhya Pradesh",289550,289550,929,0.8464
154,"Tirupati","Andhra Pradesh",287482,459985,966,0.8697
155,"Ichalkaranji","Maharashtra",287353,325709,926,0.8598
156,"Karnal","Haryana",286827,303425,896,0.846
157,"Bathinda","Punjab",285788,285788,886,0.8166
158,"Jalna","Maharashtra",285577,285577,941,0.818
159,"Kirari Suleman Nagar","Delhi",283211,283211,859,0.7994
160,"Purnia","Bihar",282248,310817,906,0.7302
161,"Satna","Madhya Pradesh",280222,283004,895,0.848
163,"Barasat","West Bengal",278435,278435,977,0.8962
164,"Sonipat","Haryana",278149,292339,875,0.8548
166,"Sagar","Madhya Pradesh",273296,370296,914,0.8944
167,"Raurkela","Orissa",272721,552970,888,0.8698
168,"Durg","Chhattisgarh",268806,268806,967,0.8736
169,"Imphal","Manipur",268243,414288,1052,0.908
170,"Ratlam","Madhya Pradesh",264914,273892,964,0.868
172,"Arrah","Bihar",261430,261430,883,0.8115
173,"Karimnagar","Andhra Pradesh",261185,299660,981,0.8582
174,"Anantapur","Andhra Pradesh",261004,341895,996,0.8123
175,"NDMC","Delhi",257803,257803,838,0.8983
177,"Ambernath","Maharashtra",253475,253475,912,0.8722
178,"Bharatpur","Rajasthan",252342,252606,886,0.8102
179,"Begusarai","Bihar",252008,252008,885,0.7648
180,"Tiruvottiyur","Tamil Nadu",249446,249446,991,0.8859
181,"North Dum Dum","West Bengal",249142,249142,973,0.91
182,"Gandhidham","Gujarat",247992,247992,886,0.818
183,"Baranagar","West Bengal",245213,245213,943,0.9141
184,"Puducherry","Puducherry",244377,654392,1046,0.8922
185,"Thoothukkudi","Tamil Nadu",237830,410760,1010,0.9369
186,"Sikar","Rajasthan",237532,244563,931,0.7561
187,"Rewa","Madhya Pradesh",235654,235654,900,0.8631
189,"Raichur","Karnataka",234073,234073,989,0.7765
190,"Pali","Rajasthan",230075,230075,919,0.7749
191,"Ramagundam","Andhra Pradesh",229644,252261,967,0.7495
192,"Hardwar","Uttarakhand",228832,310562,876,0.838
193,"Vizianagaram","Andhra Pradesh",228025,239374,1037,0.8104
194,"Katihar","Bihar",226261,240565,892,0.7849
195,"Nagercoil","Tamil Nadu",224849,224849,1045,0.9499
196,"Ganganagar","Rajasthan",224532,250041,859,0.8256
197,"Karawal Nagar","Delhi",224281,224281,870,0.8401
198,"Mango","Jharkhand",223805,223805,930,0.8581
199,"Thanjavur","Tamil Nadu",222943,290724,1042,0.9127
201,"Uluberia","West Bengal",222240,222240,951,0.8003
202,"Murwara","Madhya Pradesh",221883,221883,924,0.8591
204,"Singrauli","Madhya Pradesh",220257,220257,885,0.7527
205,"Nadiad","Gujarat",218095,225132,942,0.8678
206,"Secunderabad","Andhra Pradesh",217910,217910,919,0.8507
207,"Naihati","West Bengal",217900,217900,984,0.8751
208,"Yamunanagar","Haryana",216677,383318,877,0.8543
209,"Bidhan Nagar","West Bengal",215514,215514,977,0.8914
210,"Pallavaram","Tamil Nadu",215417,215417,996,0.9286
211,"Bidar","Karnataka",214373,213593,938,0.859
212,"Munger","Bihar",213303,213303,883,0.8014
213,"Panchkula","Haryana",211355,211355,892,0.8596
214,"Burhanpur","Madhya Pradesh",210886,210886,949,0.8082
215,"Raurkela Industrial Township","Orissa",210317,552970,924,0.8547
216,"Kharagpur","West Bengal",207604,293719,948,0.8576
217,"Dindigul","Tamil Nadu",207327,292132,1012,0.9022
218,"Gandhinagar","Gujarat",206167,206167,918,0.9101
219,"Hospet","Karnataka",206167,206167,1008,0.793
220,"Nangloi Jat","Delhi",205596,205596,868,0.8269
221,"English Bazar","West Bengal",205521,324237,924,0.8646
222,"Ongole","Andhra Pradesh",204746,206419,991,0.8304
223,"Eluru","Andhra Pradesh",203780,250693,1028,0.839
224,"Deoghar","Jharkhand",203123,203123,881,0.8568
225,"Chapra","Bihar",202352,212955,900,0.7847
226,"Haldia","West Bengal",200827,200827,916,0.8854
227,"Khandwa","Madhya Pradesh",200738,200738,951,0.8614
228,"Puri Town","Orissa",200564,200564,927,0.8803
229,"Nandyal","Andhra Pradesh",200516,211787,995,0.7621
230,"Morena","Madhya Pradesh",200482,200482,850,0.7922
232,"Anand","Gujarat",198282,286921,934,0.8947
233,"Bhind","Madhya Pradesh",197585,197585,875,0.8299
234,"Bhalswa Jahangir Pur","Delhi",197148,197148,853,0.7766
235,"Madhyamgram","West Bengal",196127,196127,984,0.896
236,"Bhiwani","Haryana",196057,196057,885,0.8309
237,"Navi Mumbai Panvel Raigad","Maharashtra",195373,195373,820,0.891
238,"Baharampur","West Bengal",195223,305609,947,0.9006
239,"Ambala","Haryana",195153,207934,902,0.8735
240,"Morvi","Gujarat",194947,246008,924,0.8364
244,"Bhusawal","Maharashtra",187421,204016,949,0.8838
247,"Vellore","Tamil Nadu",185803,481966,1034,0.864
248,"Mahesana","Gujarat",184991,190189,899,0.8964
249,"Khammam","Andhra Pradesh",184210,262309,1026,0.8373
250,"Sambalpur","Orissa",184000,269575,943,0.8553
251,"Raiganj","West Bengal",183612,199758,905,0.817
252,"Sirsa","Haryana",182534,182534,898,0.8136
253,"Dinapur Nizamat","Bihar",182429,182429,883,0.7701
254,"Serampore","West Bengal",181842,181842,941,0.8873
255,"Sultan Pur Majra","Delhi",181554,181554,897,0.7933
256,"Guna","Madhya Pradesh",180935,180935,915,0.8007
258,"Panvel","Maharashtra",180020,180020,946,0.9389
259,"Shivpuri","Madhya Pradesh",179977,179977,892,0.7784
260,"Surendranagar Dudhrej","Gujarat",177851,177851,919,0.848
262,"Hugli and Chinsurah","West Bengal",177259,177259,995,0.911
264,"Hastsal","Delhi",176877,176877,865,0.8371
265,"Tambaram","Tamil Nadu",174787,174787,963,0.9223
266,"Adityapur","Jharkhand",174355,174355,902,0.8193
267,"Badalapur","Maharashtra",174226,174226,928,0.9172
268,"Alappuzha","Kerala",174176,241072,1077,0.962
269,"Cuddalore","Tamil Nadu",173636,173636,1026,0.8771
270,"Silchar","Assam",172830,228985,989,0.9093
271,"Gadag and Betigeri","Karnataka",172612,172612,1009,0.8539
272,"Bahadurgarh","Haryana",170767,170767,862,0.8526
273,"Machilipatnam","Andhra Pradesh",169892,169892,1032,0.8243
274,"Shimla","Himachal Pradesh",169578,171817,820,0.9363
275,"Medinipur","West Bengal",169264,169264,992,0.8899
276,"Deoli","Delhi",169122,169122,860,0.8428
277,"Bharuch","Gujarat",169007,224210,947,0.8727
278,"Hoshiarpur","Punjab",168653,168653,910,0.8814
279,"Jind","Haryana",167592,167592,878,0.825
280,"Chandannagar","West Bengal",166867,166867,986,0.8966
281,"Adoni","Andhra Pradesh",166344,184771,1017,0.6594
282,"Tonk","Rajasthan",165294,165294,949,0.6862
284,"Tenali","Andhra Pradesh",164937,164937,1026,0.8275
285,"Alandur","Tamil Nadu",164430,164430,997,0.9446
286,"Kancheepuram","Tamil Nadu",164384,221749,1005,0.8806
287,"Vapi","Gujarat",163630,163630,739,0.89
288,"Rajnandgaon","Chhattisgarh",163114,163114,991,0.8683
289,"Proddatur","Andhra Pradesh",162717,217895,1003,0.7767
290,"Navsari","Gujarat",160941,282753,930,0.8836
292,"Uttarpara Kotrung","West Bengal",159147,159147,955,0.9065
293,"Mahbubnagar","Andhra Pradesh",157733,210143,992,0.8396
294,"Erode","Tamil Nadu",157101,521776,1008,0.8829
295,"Batala","Punjab",156619,158404,896,0.8491
296,"Saharsa","Bihar",156540,156540,879,0.7563
297,"Haldwani and Kathgodam","Uttarakhand",156078,232060,904,0.8077
298,"Vidisha","Madhya Pradesh",155951,155951,914,0.8516
299,"Thanesar","Haryana",155152,155152,847,0.8509
300,"Kishangarh","Rajasthan",154886,154886,935,0.7897
301,"Dallo Pura","Delhi",154791,154791,905,0.8315
302,"Veraval","Gujarat",154636,184855,969,0.7687
304,"Chittoor","Andhra Pradesh",153756,175640,1007,0.8571
305,"Krishnanagar","West Bengal",153062,181182,984,0.9036
306,"Barrackpur","West Bengal",152783,152783,950,0.8876
308,"Santipur","West Bengal",151777,288718,971,0.809
309,"Porbandar","Gujarat",151770,217307,943,0.8576
310,"Hindupur","Andhra Pradesh",151677,151677,986,0.7523
311,"Balurghat","West Bengal",151416,164593,998,0.9118
312,"Bhadravati","Karnataka",151102,151102,1014,0.8638
313,"Hanumangarh","Rajasthan",150958,150958,894,0.7688
314,"Moga","Punjab",150411,159897,888,0.8059
315,"Pathankot","Punjab",148937,159909,907,0.8799
316,"Hajipur","Bihar",147688,147688,892,0.768
317,"Sasaram","Bihar",147408,147408,900,0.8026
318,"Habra","West Bengal",147221,304584,974,0.8998
319,"Bid","Maharashtra",146709,146709,941,0.8934
320,"Mohali","Punjab",146213,176152,911,0.9196
321,"Burari","Delhi",146190,146190,872,0.8898
322,"Beawar","Rajasthan",145504,151472,948,0.8439
323,"Abohar","Punjab",145302,145302,887,0.7894
324,"Tiruvannamalai","Tamil Nadu",145278,145278,1006,0.8775
325,"Jamuria","West Bengal",145276,145276,926,0.7195
326,"Kaithal","Haryana",144915,144915,887,0.7924
327,"Godhra","Gujarat",143644,161925,935,0.8751
328,"Bhuj","Gujarat",143286,187279,887,0.8659
329,"Robertson Pet","Karnataka",143233,165463,1020,0.9137
330,"Shillong","Meghalaya",143229,354325,1042,0.9281
331,"Rewari","Haryana",143021,143021,888,0.8654
332,"Hazaribag","Jharkhand",142489,153599,922,0.8936
333,"Bhimavaram","Andhra Pradesh",142184,147056,1030,0.8305
334,"Mandsaur","Madhya Pradesh",141667,141667,954,0.8571
335,"Chas","Jharkhand",141640,141640,895,0.8367
336,"Rudrapur","Uttarakhand",140857,154485,902,0.7148
337,"Chitradurga","Karnataka",140206,145580,999,0.8797
338,"Kumbakonam","Tamil Nadu",140156,167098,1021,0.9157
339,"Dibrugarh","Assam",139565,154019,928,0.8942
340,"Kolar","Karnataka",138462,138462,981,0.848
341,"Chhindwara","Madhya Pradesh",138291,190008,963,0.8942
342,"Bankura","West Bengal",137386,137386,967,0.8612
343,"Mandya","Karnataka",137358,137358,1000,0.8532
344,"Dehri","Bihar",137231,137231,896,0.812
345,"Raigarh","Chhattisgarh",137126,149991,953,0.8702
346,"Madanapalle","Andhra Pradesh",136414,179267,996,0.805
347,"Nalgonda","Andhra Pradesh",135744,153736,997,0.8683
349,"Malerkotla","Punjab",135424,135424,897,0.691
350,"Siwan","Bihar",135066,135066,909,0.7961
351,"Chhattarpur","Madhya Pradesh",133464,147688,893,0.8349
352,"Hassan","Karnataka",133436,173134,1018,0.8986
354,"Gondiya","Maharashtra",132813,132813,997,0.933
355,"North Barrackpur","West Bengal",132806,132806,984,0.939
356,"Bettiah","Bihar",132209,156200,901,0.8064
357,"Palakkad","Kerala",130955,293566,1052,0.939
358,"Rajapalayam","Tamil Nadu",130442,130442,1014,0.8548
359,"Botad","Gujarat",130327,130327,926,0.8199
362,"Raniganj","West Bengal",129441,129441,915,0.7765
363,"Palwal","Haryana",128730,131121,884,0.8158
364,"Khanna","Punjab",128137,128137,890,0.8355
365,"Neemuch","Madhya Pradesh",128095,128575,894,0.8456
367,"Mustafabad","Delhi",127167,127167,901,0.7509
369,"Guntakal","Andhra Pradesh",126270,126270,1009,0.7487
370,"Pithampur","Madhya Pradesh",126200,126200,796,0.8092
371,"Motihari","Bihar",126158,126158,859,0.8491
372,"Dhaulpur","Rajasthan",125989,133229,865,0.7557
373,"Srikakulam","Andhra Pradesh",125939,146988,1014,0.8462
374,"Nabadwip","West Bengal",125543,175474,919,0.8733
375,"Patan","Gujarat",125497,133744,915,0.8599
376,"Jagdalpur","Chhattisgarh",125463,125463,961,0.8491
377,"Udupi","Karnataka",125306,165401,1022,0.9355
378,"Basirhat","West Bengal",125254,144891,981,0.8735
379,"Damoh","Madhya Pradesh",125101,147515,916,0.8618
380,"Halisahar","West Bengal",124939,124939,908,0.8836
381,"Jagadhri","Haryana",124894,124894,845,0.852
382,"Rishra","West Bengal",124577,124577,870,0.8789
383,"Kurichi","Tamil Nadu",123667,123667,1001,0.8993
384,"Dimapur","Nagaland",122834,122834,910,0.8603
385,"Palanpur","Gujarat",122344,140344,912,0.8446
386,"Dharmavaram","Andhra Pradesh",121874,121874,958,0.7107
387,"Gokal Pur","Delhi",121870,121870,879,0.8472
388,"Kashipur","Uttarakhand",121623,121623,912,0.8245
389,"Ashokenagar Kalyangarh","West Bengal",121592,121592,986,0.9199
390,"Baidyabati","West Bengal",121110,121110,938,0.8826
391,"Sawai Madhopur","Rajasthan",121106,121106,922,0.7944
392,"Puruliya","West Bengal",121067,126894,942,0.8209
393,"Mandoli","Delhi",120417,120417,877,0.8167
395,"Kanchrapara","West Bengal",120345,120345,982,0.9006
396,"Satara","Maharashtra",120195,149170,966,0.9217
397,"Churu","Rajasthan",119856,120147,945,0.7423
398,"Madavaram","Tamil Nadu",119105,119105,989,0.9051
399,"Gangapur","Rajasthan",119090,130030,895,0.7912
400,"Dabgram","West Bengal",119040,119040,949,0.732
401,"Darjiling","West Bengal",118805,132016,1007,0.9385
402,"Barshi","Maharashtra",118722,118722,953,0.8577
404,"Jhunjhunun","Rajasthan",118473,118473,925,0.7358
405,"Chikmagalur","Karnataka",118401,118401,1017,0.9025
406,"Jetpur Navagadh","Gujarat",118302,118302,903,0.8212
407,"Roorkee","Uttarakhand",118200,273502,863,0.8948
408,"Gudivada","Andhra Pradesh",118167,118167,1001,0.8164
409,"Baleshwar","Orissa",118162,177557,962,0.8809
410,"Baran","Rajasthan",117992,117992,932,0.8025
411,"Hoshangabad","Madhya Pradesh",117988,117988,912,0.8701
412,"Nagaon","Assam",117722,147137,974,0.8915
413,"Pudukkottai","Tamil Nadu",117630,117630,1003,0.9135
414,"Adilabad","Andhra Pradesh",117167,139103,971,0.7874
415,"Hosur","Tamil Nadu",116821,229507,968,0.874
416,"Muktsar","Punjab",116747,116747,891,0.7649
417,"Yavatmal","Maharashtra",116551,138464,991,0.9195
418,"Titagarh","West Bengal",116541,116541,858,0.8013
419,"Barnala","Punjab",116449,116449,862,0.7842
420,"Chittaurgarh","Rajasthan",116406,116406,938,0.8406
421,"Narasaraopet","Andhra Pradesh",116250,117568,977,0.7959
422,"Dum Dum","West Bengal",114786,114786,960,0.9199
424,"Valsad","Gujarat",114636,170235,955,0.9118
425,"Ambur","Tamil Nadu",114608,114608,1033,0.8602
426,"Giridih","Jharkhand",114533,143529,910,0.8471
429,"Bally Town","West Bengal",113377,113377,937,0.8928
430,"Kalol","Gujarat",113153,113153,891,0.876
431,"Bagaha","Bihar",112634,112634,889,0.5984
432,"Ambikapur","Chhattisgarh",112449,123173,928,0.8829
433,"Achalpur","Maharashtra",112311,112311,933,0.9148
434,"Gondal","Gujarat",112197,112197,924,0.8426
435,"Bagalkot","Karnataka",111933,111933,985,0.854
436,"Osmanabad","Maharashtra",111825,111825,934,0.8862
438,"Champdani","West Bengal",111251,111251,874,0.8189
439,"Deesa","Gujarat",111160,111160,895,0.8003
441,"Nandurbar","Maharashtra",111037,111037,934,0.8809
444,"Delhi Cantonment","Delhi",110351,110351,731,0.8982
445,"Firozpur","Punjab",110313,110313,887,0.7912
446,"Baripada","Orissa",109743,116874,936,0.8852
448,"Anantnag","Jammu and Kashmir",109433,158785,927,0.7617
449,"Sehore","Madhya Pradesh",108909,109025,937,0.8436
450,"Bongaon","West Bengal",108864,108864,966,0.897
452,"Khardaha","West Bengal",108496,108496,977,0.9437
453,"Tadpatri","Andhra Pradesh",108171,108171,1003,0.7139
454,"Port Blair","Andaman and Nicobar Islands",108058,108058,871,0.9028
456,"Bhadrak","Orissa",107463,129152,951,0.7949
458,"Jalpaiguri","West Bengal",107341,169013,999,0.9064
